Nr.;Oznaczenie;Footprint;Ilo??;Nazwa / numer seryjny;Warto??;Tolerancja;Cena za szt. [z?];URL;;;
13;J2, J3, J5, J7, J9, U5;pin_con_10_female;3;;;;4,52;https://www.mouser.pl/ProductDetail/Harwin/M20-7820646?qs=WS5Jv%252B%252Bx1qWZs4rbTjPGWw%3D%3D&mgh=1&vip=1&utm_id=20540008311&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=CjwKCAjw47i_BhBTEiwAaJfPpqTxhLcAXyY2ixJMX5_x2NVCX3ZAyBLZSjSDniDoD4wdFZFHtGl5wBoC1poQAvD_BwE;;;
14;J8, J6;screw_conector;2;Listwa zaciskowa;;;1,85;https://www.tme.eu/pl/details/282837-2/listwy-zaciskowe-do-druku/te-connectivity/?brutto=1&currency=PLN&utm_source=google&utm_medium=cpc&utm_campaign=Z??cza%20PL%20[PLA]%20CSS%20Segment_A&gad_source=1&gclid=CjwKCAjw47i_BhBTEiwAaJfPpugG6P4j1sW7jP3uCQtx0usGPiqa2IGbo7alw3jerX_DORLeQRQ11BoCaNkQAvD_BwE;;;
15;U1;SOT-223-3_TabPin2;1;TLV76133DCY;;;1,59;https://www.digikey.pl/en/products/detail/texas-instruments/TLV76133DCYR/18716472;;;
16;Q1;SOT-23;1;BSS138;;;0,97;https://www.tme.eu/pl/details/bss138wh6327xtsa1/tranzystory-z-kanalem-n-smd/infineon-technologies/?brutto=1&currency=PLN&utm_source=google&utm_medium=cpc&utm_campaign=Pó?przewodniki%20PL%20[PLA]%20CSS&gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z0lzgxJBEKtRLesdaTOLqo4BwHR_bH416xk-fZzlRGwpuOFsYcg9kgaAmzbEALw_wcB;;;
17;-;DFPlayer Mini;1;DFPlayer Mini;;;27,9;https://botland.com.pl/odtwarzacze-mp3-wav-ogg-midi/3170-dfplayer-mini-odtwarzacz-mp3-z-gniazdem-microsd-6959420902521.html?cd=18298825651&ad=&kd=&gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z0dqpRH7x-s9bvULImOwyjtZrY7Ub9mppe5nQ_GxGCtjJ96b7Ah8DoaAgctEALw_wcB;;;
18;A1;Arduino_Nano;1;Arduino_Nano_v3.x;;;19,9;https://sklep.msalamon.pl/produkt/nano-v3-0-z-usb-c-zgodny-z-arduino/?gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z1KYgoT55blXuEEe74HlGoSAhVZChqcKZYRezRHaDI3T29b0MMSQpcaAvCHEALw_wcB;;;
19;-;servo;1;MG-90 - micro - 180;;;17,9;https://botland.com.pl/serwa-typu-micro/20436-serwo-mg-90s-micro-180-stopni-plastikowa-przekladnia-5904422380922.html?cd=21802601646&ad=&kd=&gad_source=1&gclid=Cj0KCQjwna_BhCbARIsALId2Z0qGjO7SaiNbpFcCgQuWsYvIoxRPszOeWEmfuX0PWJHqP_KNHz0SFAaAl3LEALw_wcB;;;
20;-;listwa LED;2;LED RGB WS2812 5050 x 8 diod - 53mm;;;15,9;https://botland.com.pl/lancuchy-i-matryce-led/6255-listwa-led-rgb-ws2812-5050-x-8-diod-53mm-5903351249157.html;;;
21;-;glosnik 8 Ohm;1;G?o?nik 1 W 8 Ohm;;;11,9;https://botland.com.pl/czujniki-ruchu/5862-czujnik-ruchu-mini-pir-hc-sr505-5904422359669.html?cd=20567593583&ad=&kd=&gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z07vMHqyNIRjixjpc-5QfOI9vmocLKhEpeC8YSUXh51kJjb4nYUoR4aAuTYEALw_wcB;;;
22;-;fotorezystor;2;Fotorezystor 5-10k? GL5616;;;4,9;https://botland.com.pl/glosniki-analogowe/19458-glosnik-1w-8ohm-30x20x5mm-adafruit-4227-5904422354848.html;;;
23;-;PIR;1;mini PIR HC-SR505;;;9,9;https://botland.com.pl/czujniki-ruchu/5862-czujnik-ruchu-mini-pir-hc-sr505-5904422359669.html?cd=20567593583&ad=&kd=&gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z07vMHqyNIRjixjpc-5QfOI9vmocLKhEpeC8YSUXh51kJjb4nYUoR4aAuTYEALw_wcB;;;
24;-;zasilacz;1;Zasialacz 5V 2A - DC barrle;;;26,9;https://botland.com.pl/zasilacze-dogniazdkowe/4088-zasilacz-akyga-5v2a-wtyk-dc-5521mm-5901720136244.html?cd=19576772303&ad=&kd=&gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z26Q_TA48b7DGoZ4y4piPPvfIWvQbRQxTAA2zLtDPiH-HMT2bzLezoaAg2nEALw_wcB;;;
25;-;gwinty insert do monta?u;1;Inserty gwintowe ró?ne rodzaje (M2, M3, M6);;;22,9;https://botland.com.pl/pozostale-akcesoria-do-drukrek-3d/22015-mosiezny-gwint-insert-do-druku-3d-rozne-rozmiary-zestaw-100-sztuk-justpi-5904422383572.html?utm_source=skapiec&utm_medium=pricewars2&utm_campaign=mosiezny-gwint-insert-do-druku-3d-rozne-rozmiary-zestaw-100-sztuk-justpi&utm_term=CPC5;;;
26;-;sruby ;;?ruby monta?owe M3, M6;;;49;https://botland.com.pl/srubki-i-nakretki/23456-zestaw-srub-i-nakretek-m3m4m5m6-1000szt-5904257801784.html;;;
27;-;sruby ;;?ruby monta?owe M2, M3;;;11,9;https://botland.com.pl/srubki-i-nakretki/637-zestaw-srubek-podkladek-i-nakretek-330szt-5410329304478.html;;;
28;-;plexy matowe;;P?yta plexy matowa;;;49;https://botland.com.pl/materialy-do-obrobki/20912-plexi-mleczna-wylewana-3mm-200x200mm-5szt-5907255402953.html;;;
29;-;plexy przezroczyste;;P?yta plexy przezroczysta;;;59,9;https://botland.com.pl/materialy-do-obrobki/20909-plexi-przezroczysta-wylewana-5mm-200x200mm-5szt-5907255402908.html;;;
30;-;klej;1;Klej do mocowania p?yt;;;4,5;https://botland.com.pl/kleje-i-klejarki/1367-klej-kropelka-2-ml-77321060.html;;;
;;;;;;;;;;;
;;;;;;SUMA;358,35;;;;
